"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop","amplicon_length","taxID","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species group","parvorder","varietas"
NA,"NC_062886.1",135,0,0,630,613,496,513,496,630,99,"175442","Naso hexacanthus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Acanthuriformes","Acanthuridae","Nasinae","Naso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OM494539.1",135,0,0,630,613,496,513,496,630,99,"175442","Naso hexacanthus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Acanthuriformes","Acanthuridae","Nasinae","Naso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OV522635.1",135,0,0,539,556,673,656,539,673,99,"7936","Anguilla anguilla","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OV522634.1",135,0,0,547,564,681,664,547,681,99,"7936","Anguilla anguilla","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OV522633.1",135,0,0,539,556,673,656,539,673,99,"7936","Anguilla anguilla","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Anguilliformes","Anguillidae",NA,"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OM974321.1",136,0,0,11709,11692,11574,11591,11574,11709,100,"94911","Atherinomorus stipes","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Atheriniformes","Atherinidae","Atherininae","Atherinomorus",NA,NA,"Atherinomorphae",NA,NA,NA,NA,NA,NA,NA
NA,"OW121845.1",135,0,0,632,615,498,515,498,632,99,"446457","Telmatherina bonti","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Atheriniformes","Telmatherinidae",NA,"Telmatherina",NA,NA,"Atherinomorphae",NA,NA,NA,NA,NA,NA,NA
NA,"OW121833.1",135,0,0,19695049,19695032,19694915,19694932,19694915,19695049,99,"446457","Telmatherina bonti","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Atheriniformes","Telmatherinidae",NA,"Telmatherina",NA,NA,"Atherinomorphae",NA,NA,NA,NA,NA,NA,NA
NA,"LC689122.1",135,1,0,507,490,373,390,373,507,99,"197544","Chlorophthalmus albatrossis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Aulopiformes","Chlorophthalmidae",NA,"Chlorophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MN399859.1",135,0,0,630,613,496,513,496,630,99,"173519","Decapterus tabl","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Carangiformes","Carangidae",NA,"Decapterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
