"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
NA,"OW387167.1",136,0,0,631,614,496,513,496,631
NA,"OW568916.1",136,0,0,627,610,492,509,492,627
NA,"OW568914.1",136,0,0,627,610,492,509,492,627
NA,"OW568913.1",136,0,0,627,610,492,509,492,627
NA,"OW568912.1",136,0,0,627,610,492,509,492,627
NA,"OW568911.1",136,0,0,627,610,492,509,492,627
NA,"OW568909.1",136,0,0,627,610,492,509,492,627
NA,"OW568908.1",136,0,0,627,610,492,509,492,627
NA,"OW568907.1",136,0,0,627,610,492,509,492,627
NA,"OW568906.1",136,0,0,627,610,492,509,492,627
NA,"OK505795.1",136,0,0,15923,15940,16058,16041,15923,16058
NA,"NC_062945.1",137,0,0,651,634,515,532,515,651
NA,"NC_062944.1",137,0,0,640,623,504,521,504,640
NA,"NC_062960.1",140,0,0,649,632,510,527,510,649
NA,"NC_062887.1",120,0,0,616,599,497,514,497,616
NA,"NC_062886.1",135,0,0,630,613,496,513,496,630
NA,"NC_062878.1",126,0,0,7524,7507,7399,7416,7399,7524
NA,"NC_062875.1",135,0,0,630,613,496,513,496,630
NA,"NC_062861.1",135,0,0,639,622,505,522,505,639
NA,"NC_062821.1",137,0,0,640,623,504,521,504,640
NA,"NC_062819.1",138,0,0,654,637,517,534,517,654
NA,"NC_062786.1",135,0,0,632,615,498,515,498,632
NA,"NC_062785.1",134,0,0,631,614,498,515,498,631
NA,"NC_062784.1",134,0,0,631,614,498,515,498,631
NA,"NC_062783.1",135,0,0,635,618,501,518,501,635
NA,"NC_062782.1",135,0,0,636,619,502,519,502,636
NA,"NC_062781.1",136,0,0,633,616,498,515,498,633
NA,"NC_062732.1",136,0,0,632,615,497,514,497,632
NA,"OM574970.1",136,0,0,631,614,496,513,496,631
NA,"OM574969.1",136,0,0,631,614,496,513,496,631
NA,"OM574968.1",136,0,0,631,614,496,513,496,631
NA,"OM574967.1",136,0,0,631,614,496,513,496,631
NA,"OM574966.1",136,0,0,631,614,496,513,496,631
NA,"OM574965.1",136,0,0,631,614,496,513,496,631
NA,"OM574964.1",136,0,0,631,614,496,513,496,631
NA,"OM574963.1",136,0,0,631,614,496,513,496,631
NA,"OM574962.1",136,0,0,631,614,496,513,496,631
NA,"OM574961.1",136,0,0,631,614,496,513,496,631
NA,"OM574960.1",136,0,0,631,614,496,513,496,631
NA,"OM574959.1",136,0,0,631,614,496,513,496,631
NA,"OM574958.1",136,0,0,631,614,496,513,496,631
NA,"OM574957.1",136,0,0,631,614,496,513,496,631
NA,"OM574956.1",136,0,0,631,614,496,513,496,631
NA,"OM574955.1",136,0,0,631,614,496,513,496,631
NA,"OM574954.1",136,0,0,631,614,496,513,496,631
NA,"OM574953.1",136,0,0,631,614,496,513,496,631
NA,"OM574952.1",136,0,0,631,614,496,513,496,631
NA,"OM574951.1",136,0,0,631,614,496,513,496,631
NA,"OM574950.1",136,0,0,631,614,496,513,496,631
NA,"OM574949.1",136,0,0,631,614,496,513,496,631
NA,"OM574948.1",136,0,0,631,614,496,513,496,631
NA,"OM574947.1",136,0,0,631,614,496,513,496,631
NA,"OM574946.1",136,0,0,631,614,496,513,496,631
NA,"OM574945.1",136,0,0,631,614,496,513,496,631
NA,"OM574944.1",136,0,0,631,614,496,513,496,631
NA,"OM574943.1",136,0,0,631,614,496,513,496,631
NA,"OM574942.1",136,0,0,631,614,496,513,496,631
NA,"OM574941.1",136,0,0,631,614,496,513,496,631
NA,"OM574940.1",136,0,0,631,614,496,513,496,631
NA,"OM574939.1",136,0,0,631,614,496,513,496,631
NA,"OM574938.1",136,0,0,631,614,496,513,496,631
NA,"OM574937.1",136,0,0,631,614,496,513,496,631
NA,"OM574936.1",136,0,0,631,614,496,513,496,631
