"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop","amplicon_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
NA,"LC717544.1",135,0,0,490,473,356,373,356,490,99,197543,"Synodus hoshinonis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Aulopiformes","Synodontidae","Synodontinae","Synodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717522.1",135,0,0,502,485,368,385,368,502,99,57835,"Omobranchus fasciolatoceps","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Blenniiformes","Blenniidae","Blenniinae","Omobranchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720452.1",134,1,0,501,484,368,385,368,501,98,34814,"Coryphaena hippurus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Carangiformes","Coryphaenidae",NA,"Coryphaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ON860605.1",135,0,0,382,365,248,265,248,382,99,194548,"Lepomis marginatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Centrarchiformes","Centrarchidae",NA,"Lepomis",NA,NA,NA,"Centrarchoidei",NA,NA,NA,NA,NA,NA
NA,"MZ547135.1",134,0,0,632,615,499,516,499,632,98,163149,"Girella punctata","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Centrarchiformes","Girellidae",NA,"Girella",NA,NA,NA,"Terapontoidei",NA,NA,NA,NA,NA,NA
NA,"LC717540.1",135,0,0,502,485,368,385,368,502,99,75329,"Misgurnus anguillicaudatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitinae","Misgurnus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC717539.1",135,0,0,502,485,368,385,368,502,99,75329,"Misgurnus anguillicaudatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitinae","Misgurnus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MZ221752.1",136,0,0,633,616,498,515,498,633,100,77794,"Luciobarbus capito","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"ON920824.1",136,1,0,635,618,500,517,500,635,100,327699,"Schizothorax eurystomus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Schizothoracinae","Schizothorax",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MZ447814.1",135,1,0,628,611,494,511,494,628,99,2966454,"Formosania fasciolata","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gastromyzontidae",NA,"Formosania",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MZ447813.1",135,1,0,633,616,499,516,499,633,99,2864140,"Formosania galericula","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gastromyzontidae",NA,"Formosania",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_065093.1",136,0,0,636,619,501,518,501,636,100,2954764,"Mesogobio lachneri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gobionidae","Gobioninae","Mesogobio",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC717537.1",136,0,0,506,489,371,388,371,506,100,418128,"Pseudogobio esocinus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gobionidae","Gobioninae","Pseudogobio",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC717538.1",136,0,0,506,489,371,388,371,506,100,481702,"Sarcocheilichthys variegatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gobionidae","Sarcocheilichthyinae","Sarcocheilichthys",NA,"Ostariophysi","Cypriniphysae",NA,NA,"Sarcocheilichthys variegatus variegatus",NA,NA,NA,NA
NA,"LC717533.1",135,0,0,503,486,369,386,369,503,99,149982,"Lefua echigonia","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Lefua",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC717532.1",135,0,0,503,486,369,386,369,503,99,149982,"Lefua echigonia","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Lefua",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_065113.1",135,0,0,630,613,496,513,496,630,99,2860143,"Triplophysa angeli","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Triplophysa",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC720448.1",136,0,0,510,493,375,392,375,510,100,180933,"Ischikauia steenackeri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Ischikauia",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"ON227526.1",136,0,0,641,624,506,523,506,641,100,531403,"Pseudohemiculter hainanensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Pseudohemiculter",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_065120.1",134,0,0,630,613,497,514,497,630,98,34778,"Fundulus dispar","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cyprinodontiformes","Fundulidae",NA,"Fundulus",NA,NA,"Atherinomorphae",NA,NA,NA,NA,NA,NA,NA
NA,"LC717525.1",134,0,0,542,525,409,426,409,542,98,274466,"Gerres equulus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gerreiformes","Gerreidae",NA,"Gerres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
